iter	Passed	Remaining
402	14554	93789
403	14574	93653
404	14593	93508
405	14610	93349
406	14626	93185
407	14641	93014
408	14657	92854
409	14671	92680
410	14771	93048
411	14801	92977
412	14821	92843
413	14841	92706
414	14859	92556
415	14874	92395
416	14888	92224
417	14903	92056
418	15006	92436
419	15036	92366
420	15061	92266
421	15077	92110
422	15146	92276
423	15206	92385
424	15225	92247
425	15241	92093
426	15255	91925
427	15269	91758
428	15379	92171
429	15397	92027
430	15412	91865
431	15426	91703
432	15440	91540
433	15549	91935
434	15576	91847
435	15598	91731
436	15617	91594
437	15631	91433
438	15646	91276
439	15663	91130
440	15678	90978
441	15788	91374
442	15812	91270
443	15830	91134
444	15849	91001
445	15866	90861
446	15882	90710
447	15946	90836
448	16005	90937
449	16023	90801
450	16044	90684
451	16063	90550
452	16079	90406
453	16096	90268
454	16207	90657
455	16232	90559
456	16250	90426
457	16267	90290
458	16286	90159
459	16303	90021
460	16407	90363
461	16429	90253
462	16444	90105
463	16459	89960
464	16474	89814
465	16564	90075
466	16611	90101
467	16631	89979
468	16647	89838
469	16662	89696
470	16676	89543
471	16693	89406
472	16705	89248
473	16779	89418
474	16826	89448
475	16845	89325
476	16862	89190
477	16876	89045
478	16891	88902
479	16906	88760
480	16929	88659
481	17038	89008
482	17062	88913
483	17082	88798
484	17101	88680
485	17122	88571
486	17141	88450
487	17264	88871
488	17294	88806
489	17314	88690
490	17329	88555
491	17344	88415
492	17360	88282
493	17472	88634
494	17491	88515
495	17505	88376
496	17521	88243
497	17539	88119
498	17650	88465
499	17675	88376
500	17694	88262
501	17712	88140
502	17729	88013
503	17746	87885
504	17760	87746
505	17775	87613
506	17889	87965
507	17907	87845
508	17925	87725
509	17942	87599
510	17961	87487
511	17975	87349
512	18075	87628
513	18100	87545
514	18121	87440
515	18137	87314
516	18151	87178
517	18165	87041
518	18178	86898
519	18191	86761
520	18307	87111
521	18335	87040
522	18357	86942
523	18373	86818
524	18389	86693
525	18401	86549
526	18414	86413
527	18426	86270
528	18543	86620
529	18562	86509
530	18579	86391
531	18595	86267
532	18673	86428
533	18720	86451
534	18737	86332
535	18754	86216
536	18771	86099
537	18788	85982
538	18805	85861
539	18909	86144
540	18932	86054
541	18949	85939
542	18968	85831
543	18984	85709
544	19111	86090
545	19148	86061
546	19168	85960
547	19185	85843
548	19202	85727
549	19218	85610
550	19235	85494
551	19250	85373
552	19361	85675
553	19394	85631
554	19423	85567
555	19445	85474
556	19468	85390
557	19490	85298
558	19606	85614
559	19625	85513
560	19645	85411
561	19659	85285
562	19674	85164
563	19689	85041
564	19715	84969
565	19808	85182
566	19828	85083
567	19846	84975
568	19861	84857
