MSA.Code,City,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
12700,"Barnstable Town, MA",96923,76563,1150,320,1470,20360,0.79,830,0.22,Computer and Mathematical
12700,"Barnstable Town, MA",82917,76648,887,253,1140,6269,0.92,634,0.22,Architecture and Engineering
12700,"Barnstable Town, MA",130216,64650,547,405,952,65566,0.5,142,0.43,"Life, Physical, and Social Sciences"
12740,"Barre, VT",51838,48559,11094,9803,20897,3279,0.94,1291,0.47,All (STEM and Non-STEM)
12740,"Barre, VT",61615,67500,1131,412,1543,-5885,1.1,719,0.27,All STEM
12740,"Barre, VT",69635,64904,537,205,742,4731,0.93,332,0.28,Computer and Mathematical
12740,"Barre, VT",65500,73750,418,57,475,-8250,1.13,361,0.12,Architecture and Engineering
12740,"Barre, VT",51667,70455,176,150,326,-18788,1.36,26,0.46,"Life, Physical, and Social Sciences"
12780,"Bartlesville, OK",47362,35938,9453,7157,16610,11424,0.76,2296,0.43,All (STEM and Non-STEM)
12780,"Bartlesville, OK",88421,64118,1034,444,1478,24303,0.73,590,0.3,All STEM
12780,"Bartlesville, OK",81964,61797,610,219,829,20167,0.75,391,0.26,Computer and Mathematical
12780,"Bartlesville, OK",89474,93462,258,80,338,-3988,1.04,178,0.24,Architecture and Engineering
12780,"Bartlesville, OK",119792,63603,166,145,311,56189,0.53,21,0.47,"Life, Physical, and Social Sciences"
12860,"Batavia, NY",50563,38401,12154,8478,20632,12162,0.76,3676,0.41,All (STEM and Non-STEM)
12860,"Batavia, NY",74360,53750,548,266,814,20610,0.72,282,0.33,All STEM
12860,"Batavia, NY",79500,52132,206,115,321,27368,0.66,91,0.36,Computer and Mathematical
12860,"Batavia, NY",70714,100341,326,49,375,-29627,1.42,277,0.13,Architecture and Engineering
12860,"Batavia, NY",86667,36500,16,102,118,50167,0.42,-86,0.86,"Life, Physical, and Social Sciences"
12900,"Batesville, AR",38925,30382,8596,6925,15521,8543,0.78,1671,0.45,All (STEM and Non-STEM)
12900,"Batesville, AR",82554,4732,265,50,315,77822,0.06,215,0.16,All STEM
12900,"Batesville, AR",67196,NA,125,19,144,NA,NA,106,0.13,Computer and Mathematical
12900,"Batesville, AR",99674,NA,74,3,77,NA,NA,71,0.04,Architecture and Engineering
12900,"Batesville, AR",51207,NA,66,28,94,NA,NA,38,0.3,"Life, Physical, and Social Sciences"
12940,"Baton Rouge, LA",59734,39709,157780,130268,288048,20025,0.66,27512,0.45,All (STEM and Non-STEM)
12940,"Baton Rouge, LA",86637,61764,13698,4228,17926,24873,0.71,9470,0.24,All STEM
12940,"Baton Rouge, LA",70780,52667,3972,1802,5774,18113,0.74,2170,0.31,Computer and Mathematical
12940,"Baton Rouge, LA",93469,86683,7538,1047,8585,6786,0.93,6491,0.12,Architecture and Engineering
12940,"Baton Rouge, LA",80235,52472,2188,1379,3567,27763,0.65,809,0.39,"Life, Physical, and Social Sciences"
12980,"Battle Creek, MI",47408,38397,22764,18988,41752,9011,0.81,3776,0.45,All (STEM and Non-STEM)
12980,"Battle Creek, MI",69527,66121,1551,642,2193,3406,0.95,909,0.29,All STEM
12980,"Battle Creek, MI",67823,68311,600,335,935,-488,1.01,265,0.36,Computer and Mathematical
12980,"Battle Creek, MI",75483,67250,773,110,883,8233,0.89,663,0.12,Architecture and Engineering
12980,"Battle Creek, MI",61667,47083,178,197,375,14584,0.76,-19,0.53,"Life, Physical, and Social Sciences"
13020,"Bay City, MI",49634,36865,18071,14118,32189,12769,0.74,3953,0.44,All (STEM and Non-STEM)
13020,"Bay City, MI",66852,66283,1274,489,1763,569,0.99,785,0.28,All STEM
13020,"Bay City, MI",54676,52835,439,187,626,1841,0.97,252,0.3,Computer and Mathematical
13020,"Bay City, MI",76350,82321,744,167,911,-5971,1.08,577,0.18,Architecture and Engineering
13020,"Bay City, MI",64766,66349,91,135,226,-1583,1.02,-44,0.6,"Life, Physical, and Social Sciences"
13060,"Bay City, TX",52504,32113,6777,4148,10925,20391,0.61,2629,0.38,All (STEM and Non-STEM)
13060,"Bay City, TX",91071,52778,420,42,462,38293,0.58,378,0.09,All STEM
13060,"Bay City, TX",113750,NA,39,26,65,NA,NA,13,0.4,Computer and Mathematical
13060,"Bay City, TX",93750,NA,297,16,313,NA,NA,281,0.05,Architecture and Engineering
13060,"Bay City, TX",85417,NA,84,0,84,NA,NA,84,0,"Life, Physical, and Social Sciences"
13100,"Beatrice, NE",47195,35773,4614,3474,8088,11422,0.76,1140,0.43,All (STEM and Non-STEM)
13100,"Beatrice, NE",64318,66111,234,60,294,-1793,1.03,174,0.2,All STEM
13100,"Beatrice, NE",46544,66296,85,52,137,-19752,1.42,33,0.38,Computer and Mathematical
13100,"Beatrice, NE",74286,NA,116,0,116,NA,NA,116,0,Architecture and Engineering
13100,"Beatrice, NE",59659,36250,33,8,41,23409,0.61,25,0.2,"Life, Physical, and Social Sciences"
13140,"Beaumont-Port Arthur, TX",53946,38219,74291,51319,125610,15727,0.71,22972,0.41,All (STEM and Non-STEM)
13140,"Beaumont-Port Arthur, TX",91265,84049,4637,1407,6044,7216,0.92,3230,0.23,All STEM
13140,"Beaumont-Port Arthur, TX",72480,49805,1003,207,1210,22675,0.69,796,0.17,Computer and Mathematical
13140,"Beaumont-Port Arthur, TX",92434,84323,2819,685,3504,8111,0.91,2134,0.2,Architecture and Engineering
13140,"Beaumont-Port Arthur, TX",95655,90298,815,515,1330,5357,0.94,300,0.39,"Life, Physical, and Social Sciences"
13180,"Beaver Dam, WI",49748,38393,19856,13017,32873,11355,0.77,6839,0.4,All (STEM and Non-STEM)
13180,"Beaver Dam, WI",70101,54583,1105,450,1555,15518,0.78,655,0.29,All STEM
13180,"Beaver Dam, WI",64643,54792,344,137,481,9851,0.85,207,0.28,Computer and Mathematical
13180,"Beaver Dam, WI",71375,42245,684,187,871,29130,0.59,497,0.21,Architecture and Engineering
13180,"Beaver Dam, WI",58125,63750,77,126,203,-5625,1.1,-49,0.62,"Life, Physical, and Social Sciences"
13220,"Beckley, WV",43661,32973,18698,13131,31829,10688,0.76,5567,0.41,All (STEM and Non-STEM)
13220,"Beckley, WV",58491,56979,1003,133,1136,1512,0.97,870,0.12,All STEM
13220,"Beckley, WV",65227,61964,310,64,374,3263,0.95,246,0.17,Computer and Mathematical
13220,"Beckley, WV",81094,NA,464,11,475,NA,NA,453,0.02,Architecture and Engineering
13220,"Beckley, WV",47679,32375,229,58,287,15304,0.68,171,0.2,"Life, Physical, and Social Sciences"
13260,"Bedford, IN",46198,32415,8885,6503,15388,13783,0.7,2382,0.42,All (STEM and Non-STEM)
13260,"Bedford, IN",76389,51765,634,168,802,24624,0.68,466,0.21,All STEM
13260,"Bedford, IN",81667,44583,134,96,230,37084,0.55,38,0.42,Computer and Mathematical
13260,"Bedford, IN",75747,92647,478,32,510,-16900,1.22,446,0.06,Architecture and Engineering
13260,"Bedford, IN",NA,NA,22,40,62,NA,NA,-18,0.65,"Life, Physical, and Social Sciences"
13300,"Beeville, TX",44032,30445,4151,2781,6932,13587,0.69,1370,0.4,All (STEM and Non-STEM)
13300,"Beeville, TX",NA,NA,82,21,103,NA,NA,61,0.2,All STEM
13300,"Beeville, TX",NA,NA,0,18,18,NA,NA,-18,1,Computer and Mathematical
13300,"Beeville, TX",NA,NA,48,0,48,NA,NA,48,0,Architecture and Engineering
13300,"Beeville, TX",NA,NA,34,3,37,NA,NA,31,0.08,"Life, Physical, and Social Sciences"
13340,"Bellefontaine, OH",48505,36597,9420,6515,15935,11908,0.75,2905,0.41,All (STEM and Non-STEM)
13340,"Bellefontaine, OH",71625,78750,536,125,661,-7125,1.1,411,0.19,All STEM
13340,"Bellefontaine, OH",50192,60179,188,38,226,-9987,1.2,150,0.17,Computer and Mathematical
13340,"Bellefontaine, OH",82946,81000,327,70,397,1946,0.98,257,0.18,Architecture and Engineering
13340,"Bellefontaine, OH",44583,48750,21,17,38,-4167,1.09,4,0.45,"Life, Physical, and Social Sciences"
13380,"Bellingham, WA",55840,41562,39800,25425,65225,14278,0.74,14375,0.39,All (STEM and Non-STEM)
13380,"Bellingham, WA",76829,68820,2969,1201,4170,8009,0.9,1768,0.29,All STEM
13380,"Bellingham, WA",67207,62407,1370,496,1866,4800,0.93,874,0.27,Computer and Mathematical
13380,"Bellingham, WA",80278,68575,1182,397,1579,11703,0.85,785,0.25,Architecture and Engineering
13380,"Bellingham, WA",73722,70389,417,308,725,3333,0.95,109,0.42,"Life, Physical, and Social Sciences"
13420,"Bemidji, MN",44969,39119,7078,6123,13201,5850,0.87,955,0.46,All (STEM and Non-STEM)
13420,"Bemidji, MN",60069,72011,411,85,496,-11942,1.2,326,0.17,All STEM
13420,"Bemidji, MN",41125,51406,147,25,172,-10281,1.25,122,0.15,Computer and Mathematical
13420,"Bemidji, MN",68750,88929,167,16,183,-20179,1.29,151,0.09,Architecture and Engineering
13420,"Bemidji, MN",51339,72391,97,44,141,-21052,1.41,53,0.31,"Life, Physical, and Social Sciences"
13460,"Bend, OR",52547,41222,32702,25436,58138,11325,0.78,7266,0.44,All (STEM and Non-STEM)
13460,"Bend, OR",77558,76121,2533,872,3405,1437,0.98,1661,0.26,All STEM
13460,"Bend, OR",69801,78873,1353,547,1900,-9072,1.13,806,0.29,Computer and Mathematical
13460,"Bend, OR",84467,76311,784,177,961,8156,0.9,607,0.18,Architecture and Engineering
13460,"Bend, OR",77734,47250,396,148,544,30484,0.61,248,0.27,"Life, Physical, and Social Sciences"
13500,"Bennettsville, SC",34672,30696,3605,3373,6978,3976,0.89,232,0.48,All (STEM and Non-STEM)
13500,"Bennettsville, SC",54007,43750,224,53,277,10257,0.81,171,0.19,All STEM
13500,"Bennettsville, SC",NA,NA,26,4,30,NA,NA,22,0.13,Computer and Mathematical
13500,"Bennettsville, SC",54850,44135,160,49,209,10715,0.8,111,0.23,Architecture and Engineering
13500,"Bennettsville, SC",NA,NA,38,0,38,NA,NA,38,0,"Life, Physical, and Social Sciences"
13540,"Bennington, VT",46217,40353,5899,5309,11208,5864,0.87,590,0.47,All (STEM and Non-STEM)
13540,"Bennington, VT",80972,91875,450,91,541,-10903,1.13,359,0.17,All STEM
13540,"Bennington, VT",95625,104464,173,41,214,-8839,1.09,132,0.19,Computer and Mathematical
13540,"Bennington, VT",92614,NA,219,8,227,NA,NA,211,0.04,Architecture and Engineering
13540,"Bennington, VT",58250,76042,58,42,100,-17792,1.31,16,0.42,"Life, Physical, and Social Sciences"
13620,"Berlin, NH",44319,36897,4995,4211,9206,7422,0.83,784,0.46,All (STEM and Non-STEM)
13620,"Berlin, NH",68125,48889,173,58,231,19236,0.72,115,0.25,All STEM
13620,"Berlin, NH",56719,80250,60,40,100,-23531,1.41,20,0.4,Computer and Mathematical
13620,"Berlin, NH",74896,NA,99,0,99,NA,NA,99,0,Architecture and Engineering
13620,"Berlin, NH",39250,NA,14,18,32,NA,NA,-4,0.56,"Life, Physical, and Social Sciences"
13660,"Big Rapids, MI",41975,35275,6373,4315,10688,6700,0.84,2058,0.4,All (STEM and Non-STEM)
13660,"Big Rapids, MI",74583,46250,287,83,370,28333,0.62,204,0.22,All STEM
13660,"Big Rapids, MI",69375,47292,97,48,145,22083,0.68,49,0.33,Computer and Mathematical
13660,"Big Rapids, MI",81667,NA,142,0,142,NA,NA,142,0,Architecture and Engineering
13660,"Big Rapids, MI",46221,36250,48,35,83,9971,0.78,13,0.42,"Life, Physical, and Social Sciences"
13700,"Big Spring, TX",53576,30824,5850,4308,10158,22752,0.58,1542,0.42,All (STEM and Non-STEM)
13700,"Big Spring, TX",75300,NA,198,13,211,NA,NA,185,0.06,All STEM
13700,"Big Spring, TX",57171,NA,51,0,51,NA,NA,51,0,Computer and Mathematical
13700,"Big Spring, TX",70417,NA,90,0,90,NA,NA,90,0,Architecture and Engineering
13700,"Big Spring, TX",76914,NA,57,13,70,NA,NA,44,0.19,"Life, Physical, and Social Sciences"
13720,"Big Stone Gap, VA",42607,31514,5896,4608,10504,11093,0.74,1288,0.44,All (STEM and Non-STEM)
13720,"Big Stone Gap, VA",43281,41406,515,133,648,1875,0.96,382,0.21,All STEM
13720,"Big Stone Gap, VA",41489,41563,249,114,363,-74,1,135,0.31,Computer and Mathematical
13720,"Big Stone Gap, VA",39474,NA,168,19,187,NA,NA,149,0.1,Architecture and Engineering
13720,"Big Stone Gap, VA",49148,NA,98,0,98,NA,NA,98,0,"Life, Physical, and Social Sciences"
13740,"Billings, MT",53160,38591,37168,27403,64571,14569,0.73,9765,0.42,All (STEM and Non-STEM)
13740,"Billings, MT",72050,61424,2428,821,3249,10626,0.85,1607,0.25,All STEM
13740,"Billings, MT",55833,59936,782,467,1249,-4103,1.07,315,0.37,Computer and Mathematical
13740,"Billings, MT",92036,72188,1387,138,1525,19848,0.78,1249,0.09,Architecture and Engineering
13740,"Billings, MT",65583,46667,259,216,475,18916,0.71,43,0.45,"Life, Physical, and Social Sciences"
13780,"Binghamton, NY",50434,41928,40309,31013,71322,8506,0.83,9296,0.43,All (STEM and Non-STEM)
13780,"Binghamton, NY",77002,61730,4680,1131,5811,15272,0.8,3549,0.19,All STEM
13780,"Binghamton, NY",74838,62243,2436,652,3088,12595,0.83,1784,0.21,Computer and Mathematical
13780,"Binghamton, NY",82077,57047,1951,239,2190,25030,0.7,1712,0.11,Architecture and Engineering
13780,"Binghamton, NY",75982,70300,293,240,533,5682,0.93,53,0.45,"Life, Physical, and Social Sciences"
13820,"Birmingham-Hoover, AL",53975,41883,200785,163564,364349,12092,0.78,37221,0.45,All (STEM and Non-STEM)
13820,"Birmingham-Hoover, AL",80767,65322,16282,5660,21942,15445,0.81,10622,0.26,All STEM
13820,"Birmingham-Hoover, AL",81503,68369,8772,3496,12268,13134,0.84,5276,0.28,Computer and Mathematical
13820,"Birmingham-Hoover, AL",82673,71543,6153,961,7114,11130,0.87,5192,0.14,Architecture and Engineering
13820,"Birmingham-Hoover, AL",52998,54923,1357,1203,2560,-1925,1.04,154,0.47,"Life, Physical, and Social Sciences"
13900,"Bismarck, ND",61571,44220,29429,22422,51851,17351,0.72,7007,0.43,All (STEM and Non-STEM)
13900,"Bismarck, ND",69821,62986,2249,781,3030,6835,0.9,1468,0.26,All STEM
13900,"Bismarck, ND",71484,62348,764,368,1132,9136,0.87,396,0.33,Computer and Mathematical
13900,"Bismarck, ND",67356,66544,1070,165,1235,812,0.99,905,0.13,Architecture and Engineering
13900,"Bismarck, ND",75972,52100,415,248,663,23872,0.69,167,0.37,"Life, Physical, and Social Sciences"
13940,"Blackfoot, ID",47817,33404,8432,4702,13134,14413,0.7,3730,0.36,All (STEM and Non-STEM)
13940,"Blackfoot, ID",87212,57969,545,202,747,29243,0.66,343,0.27,All STEM
13940,"Blackfoot, ID",63594,85313,113,49,162,-21719,1.34,64,0.3,Computer and Mathematical
13940,"Blackfoot, ID",114063,NA,279,19,298,NA,NA,260,0.06,Architecture and Engineering
13940,"Blackfoot, ID",90729,53125,153,134,287,37604,0.59,19,0.47,"Life, Physical, and Social Sciences"
13980,"Blacksburg-Christiansburg, VA",51290,40949,28677,21488,50165,10341,0.8,7189,0.43,All (STEM and Non-STEM)
13980,"Blacksburg-Christiansburg, VA",72943,49042,2940,1210,4150,23901,0.67,1730,0.29,All STEM
13980,"Blacksburg-Christiansburg, VA",77219,42438,1321,402,1723,34781,0.55,919,0.23,Computer and Mathematical
13980,"Blacksburg-Christiansburg, VA",76463,68073,1124,311,1435,8390,0.89,813,0.22,Architecture and Engineering
13980,"Blacksburg-Christiansburg, VA",50708,46493,495,497,992,4215,0.92,-2,0.5,"Life, Physical, and Social Sciences"
14010,"Bloomington, IL",60758,48078,32460,25946,58406,12680,0.79,6514,0.44,All (STEM and Non-STEM)
14010,"Bloomington, IL",85266,76520,5252,1764,7016,8746,0.9,3488,0.25,All STEM
14010,"Bloomington, IL",86421,77377,4472,1494,5966,9044,0.9,2978,0.25,Computer and Mathematical
14010,"Bloomington, IL",73333,69500,620,100,720,3833,0.95,520,0.14,Architecture and Engineering
14010,"Bloomington, IL",62917,58750,160,170,330,4167,0.93,-10,0.52,"Life, Physical, and Social Sciences"
14020,"Bloomington, IN",50460,39974,28742,21412,50154,10486,0.79,7330,0.43,All (STEM and Non-STEM)
14020,"Bloomington, IN",73660,62366,3416,932,4348,11294,0.85,2484,0.21,All STEM
14020,"Bloomington, IN",73537,60305,1422,362,1784,13232,0.82,1060,0.2,Computer and Mathematical
14020,"Bloomington, IN",81442,70781,1469,302,1771,10661,0.87,1167,0.17,Architecture and Engineering
14020,"Bloomington, IN",51250,59250,525,268,793,-8000,1.16,257,0.34,"Life, Physical, and Social Sciences"
