MSA.Code,City,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
44780,"Sturgis, MI",64688,70682,181,28,209,-5994,1.09,153,0.13,Computer and Mathematical
44780,"Sturgis, MI",72981,44375,441,31,472,28606,0.61,410,0.07,Architecture and Engineering
44780,"Sturgis, MI",64327,51667,105,28,133,12660,0.8,77,0.21,"Life, Physical, and Social Sciences"
44860,"Sulphur Springs, TX",48924,31221,7187,5605,12792,17703,0.64,1582,0.44,All (STEM and Non-STEM)
44860,"Sulphur Springs, TX",60887,54784,300,145,445,6103,0.9,155,0.33,All STEM
44860,"Sulphur Springs, TX",62656,54778,97,118,215,7878,0.87,-21,0.55,Computer and Mathematical
44860,"Sulphur Springs, TX",61415,NA,164,10,174,NA,NA,154,0.06,Architecture and Engineering
44860,"Sulphur Springs, TX",27031,NA,39,17,56,NA,NA,22,0.3,"Life, Physical, and Social Sciences"
44900,"Summerville, GA",38499,31058,3995,3051,7046,7441,0.81,944,0.43,All (STEM and Non-STEM)
44900,"Summerville, GA",51750,27059,72,28,100,24691,0.52,44,0.28,All STEM
44900,"Summerville, GA",51000,NA,22,22,44,NA,NA,0,0.5,Computer and Mathematical
44900,"Summerville, GA",71500,NA,12,0,12,NA,NA,12,0,Architecture and Engineering
44900,"Summerville, GA",60000,NA,38,6,44,NA,NA,32,0.14,"Life, Physical, and Social Sciences"
44940,"Sumter, SC",40951,31694,21435,19389,40824,9257,0.77,2046,0.47,All (STEM and Non-STEM)
44940,"Sumter, SC",56235,50858,891,300,1191,5377,0.9,591,0.25,All STEM
44940,"Sumter, SC",59955,47986,347,107,454,11969,0.8,240,0.24,Computer and Mathematical
44940,"Sumter, SC",57394,52458,378,83,461,4936,0.91,295,0.18,Architecture and Engineering
44940,"Sumter, SC",44392,50694,166,110,276,-6302,1.14,56,0.4,"Life, Physical, and Social Sciences"
44980,"Sunbury, PA",47057,36407,17018,12675,29693,10650,0.77,4343,0.43,All (STEM and Non-STEM)
44980,"Sunbury, PA",62028,57411,904,296,1200,4617,0.93,608,0.25,All STEM
44980,"Sunbury, PA",60958,66667,495,192,687,-5709,1.09,303,0.28,Computer and Mathematical
44980,"Sunbury, PA",65000,68523,310,31,341,-3523,1.05,279,0.09,Architecture and Engineering
44980,"Sunbury, PA",56125,49395,99,73,172,6730,0.88,26,0.42,"Life, Physical, and Social Sciences"
45000,"Susanville, CA",59519,46349,3617,2360,5977,13170,0.78,1257,0.39,All (STEM and Non-STEM)
45000,"Susanville, CA",78750,66411,156,87,243,12339,0.84,69,0.36,All STEM
45000,"Susanville, CA",90294,65726,60,54,114,24568,0.73,6,0.47,Computer and Mathematical
45000,"Susanville, CA",NA,NA,15,11,26,NA,NA,4,0.42,Architecture and Engineering
45000,"Susanville, CA",47969,NA,81,22,103,NA,NA,59,0.21,"Life, Physical, and Social Sciences"
45020,"Sweetwater, TX",43871,30345,2672,1796,4468,13526,0.69,876,0.4,All (STEM and Non-STEM)
45020,"Sweetwater, TX",63125,50625,126,17,143,12500,0.8,109,0.12,All STEM
45020,"Sweetwater, TX",60833,NA,30,4,34,NA,NA,26,0.12,Computer and Mathematical
45020,"Sweetwater, TX",51528,NA,71,0,71,NA,NA,71,0,Architecture and Engineering
