iter	Passed	Remaining
406	6188	5975
407	6203	5960
408	6218	5944
409	6232	5928
410	6248	5913
411	6263	5898
412	6278	5883
413	6293	5868
414	6308	5852
415	6322	5836
416	6336	5819
417	6351	5804
418	6365	5788
419	6380	5773
420	6394	5756
421	6407	5739
422	6422	5724
423	6437	5708
424	6454	5694
425	6471	5681
426	6486	5666
427	6501	5650
428	6514	5634
429	6529	5618
430	6544	5603
431	6559	5587
432	6574	5572
433	6590	5557
434	6605	5542
435	6622	5528
436	6636	5512
437	6655	5500
438	6671	5486
439	6687	5471
440	6697	5452
441	6712	5436
442	6726	5421
443	6742	5406
444	6755	5389
445	6769	5373
446	6783	5357
447	6798	5341
448	6811	5325
449	6826	5309
450	6841	5294
451	6856	5278
452	6872	5264
453	6887	5249
454	6902	5234
455	6917	5218
456	6933	5203
457	6948	5188
458	6964	5173
459	6979	5158
460	6994	5143
461	7009	5127
462	7024	5112
463	7038	5096
464	7052	5080
465	7065	5063
466	7078	5047
467	7093	5032
468	7108	5016
469	7123	5001
470	7138	4986
471	7154	4971
472	7169	4956
473	7183	4940
474	7198	4925
475	7212	4909
476	7226	4893
477	7241	4878
478	7256	4862
479	7270	4846
480	7284	4831
481	7298	4815
482	7312	4799
483	7326	4783
484	7339	4766
485	7354	4751
486	7367	4735
487	7382	4719
488	7395	4703
489	7411	4688
490	7425	4673
491	7441	4658
492	7457	4643
493	7470	4627
494	7489	4614
495	7506	4600
496	7522	4586
497	7538	4571
498	7552	4555
499	7566	4539
500	7585	4526
501	7601	4512
502	7615	4496
503	7632	4482
504	7648	4467
505	7663	4452
506	7677	4437
507	7691	4420
508	7706	4406
509	7721	4390
510	7737	4375
511	7751	4360
512	7766	4344
513	7778	4327
514	7792	4312
515	7806	4296
516	7822	4281
517	7837	4266
518	7851	4251
519	7867	4236
520	7882	4221
521	7897	4206
522	7911	4190
523	7925	4174
524	7940	4159
525	7955	4144
526	7970	4128
527	7986	4114
528	8001	4098
529	8015	4083
530	8029	4067
531	8043	4052
532	8057	4036
533	8072	4020
534	8086	4005
535	8101	3990
536	8118	3975
537	8133	3960
538	8147	3945
539	8161	3929
540	8175	3914
