iter	MultiClass
331	0.2980811007
332	0.2979578875
333	0.2976316933
334	0.2970345071
335	0.2965000616
336	0.2960391159
337	0.2954620475
338	0.2948941513
339	0.2946528431
340	0.2939512138
341	0.2937144016
342	0.2934208157
343	0.2930336317
344	0.29270283
345	0.2925346003
346	0.2921472911
347	0.2917016629
348	0.2913654836
349	0.2910690183
350	0.2902312073
351	0.2898380585
352	0.2894481656
353	0.2889950684
354	0.2884401868
355	0.2880513962
356	0.2878125623
357	0.287648237
358	0.2870956658
359	0.2866837566
360	0.2861707795
361	0.2859231444
362	0.2855391282
363	0.2851617161
364	0.2848424073
365	0.2844054006
366	0.283855876
367	0.283521299
368	0.2827799016
369	0.282333784
370	0.2820487815
371	0.2815590289
372	0.2811231612
373	0.2806005707
374	0.2801034519
375	0.2793835716
376	0.2788460824
377	0.2783748973
378	0.2780513986
379	0.2778764866
380	0.2777135955
381	0.2772210625
382	0.2768157486
383	0.276111828
384	0.2755781189
385	0.2749621132
386	0.2748616034
387	0.2744286933
388	0.2740700039
389	0.2736518587
390	0.2732480477
391	0.2728446051
392	0.272037134
393	0.2718027034
394	0.271425983
395	0.2709471609
396	0.2706254074
397	0.2703657895
398	0.2698724976
399	0.2695057994
400	0.2692099758
401	0.2689333476
402	0.2686672181
403	0.268443863
404	0.2681389779
405	0.2678761323
406	0.26762404
407	0.2673290195
408	0.2669546214
409	0.2664349558
410	0.2660730706
411	0.2657624676
412	0.265358665
413	0.2650789979
414	0.2648538997
415	0.2645852314
416	0.2642479568
417	0.2636969496
418	0.263540479
419	0.2630830326
420	0.2627277962
421	0.2623409196
422	0.2619410566
423	0.2613181798
424	0.2608726357
425	0.260556217
426	0.2602649032
427	0.2598969877
428	0.2596521078
429	0.259479171
430	0.2589650731
431	0.2582958992
432	0.2580235861
433	0.2575205286
434	0.2570513442
435	0.2566852319
436	0.2564996062
437	0.2562991069
438	0.2561095228
439	0.255617787
440	0.2553685198
441	0.2549282449
442	0.2545321736
443	0.2538740602
444	0.2534474828
445	0.2531931909
446	0.2526985009
447	0.2523477728
448	0.2520565161
449	0.2517109997
450	0.2513032312
451	0.2510377445
452	0.2506975199
453	0.2504454124
454	0.2498006198
455	0.2496340437
456	0.2491695656
457	0.2488622881
458	0.2482602465
459	0.2478580058
460	0.2474849234
461	0.2472159266
462	0.2467890538
463	0.2464884469
464	0.2458733692
465	0.2454878574
466	0.2450862398
467	0.2446060176
468	0.2441523458
469	0.2439791065
470	0.2433498389
471	0.2430663499
472	0.2426616475
473	0.2423409794
474	0.2419757559
475	0.2417016756
476	0.2411371184
477	0.2405023709
478	0.2402987211
479	0.2398390933
480	0.2395550003
481	0.2392292377
482	0.2387936206
483	0.2385785485
484	0.2383153369
485	0.2380978418
486	0.2377965295
487	0.2374611393
488	0.2370435414
489	0.2368030415
490	0.2362247547
491	0.235830984
492	0.2353755729
493	0.2349554844
494	0.2346825513
495	0.2344593947
496	0.2341550795
497	0.2339401505
498	0.2335811703
499	0.233174483
500	0.2327295772
501	0.2324457846
502	0.2321611223
503	0.2319807088
504	0.2316481046
505	0.2313744232
506	0.2308136581
507	0.2305769183
508	0.2301605912
509	0.2299466793
510	0.2297653904
511	0.2295069557
512	0.229156829
513	0.2289516825
514	0.2285909455
515	0.2283637867
516	0.2277336636
517	0.2272879082
518	0.2270299356
519	0.2266114938
520	0.2262764578
521	0.2258524072
522	0.2255387444
523	0.2253244478
524	0.2251943874
525	0.225022071
526	0.224825894
527	0.224519457
528	0.2243920098
529	0.2242086462
530	0.2239479548
531	0.2236435996
532	0.223331174
533	0.2228803259
534	0.2226974532
535	0.2220903883
536	0.2217787754
537	0.2215679901
538	0.2212813284
539	0.2210396983
540	0.2207684827
541	0.2206434888
542	0.2204963513
543	0.2201335578
544	0.2199102006
545	0.2195867853
546	0.2194645949
547	0.2190442525
548	0.2188753766
549	0.218542545
550	0.2182702448
551	0.2180368426
552	0.2177011689
553	0.217458927
554	0.2172354976
555	0.2170627914
556	0.2169075966
557	0.2163991478
558	0.2160455217
559	0.2157605085
560	0.2156036767
561	0.2153533033
562	0.2150337362
563	0.2148359349
564	0.2145863355
565	0.2144197073
566	0.2141344281
567	0.213925183
568	0.2136585405
569	0.2134531466
570	0.2129570894
571	0.2125780022
572	0.2122664341
573	0.2118517491
574	0.211402873
575	0.2112760618
576	0.2109501375
577	0.2107027464
578	0.2104229925
579	0.2100639924
580	0.2099005146
581	0.2095787334
582	0.2090131148
583	0.2084690875
584	0.2082937664
585	0.2080636149
586	0.2078110266
587	0.2075813763
588	0.207268356
589	0.20674776
590	0.2064799614
591	0.2062470633
592	0.206052873
593	0.2058869304
594	0.2056687683
595	0.2053213604
596	0.2051914826
597	0.2048735761
598	0.2045887403
599	0.2043071955
600	0.2041424102
601	0.2039066701
602	0.2036778555
603	0.2032146571
604	0.2027494313
605	0.2023122231
606	0.2017427897
607	0.2015809194
608	0.2013942718
609	0.2011639317
610	0.2008911017
611	0.2006091199
612	0.2000353087
613	0.1998195537
614	0.1993832584
615	0.1991105126
616	0.1989099379
617	0.1987081219
618	0.1985475653
619	0.1984055675
620	0.1981602183
621	0.1979572152
622	0.1975967367
623	0.1972956972
624	0.1969926862
625	0.1967254787
626	0.196479691
627	0.1961757195
628	0.1958737133
629	0.1954669488
630	0.1951329395
631	0.1948234702
632	0.1945241787
633	0.1942977375
634	0.1939227298
635	0.1937156524
636	0.1935686965
637	0.1932776996
638	0.1930260495
639	0.192590647
640	0.1922990429
641	0.1920633002
642	0.1917676044
643	0.1914225074
644	0.1909799167
645	0.1907017036
646	0.1905128636
647	0.1901708894
648	0.1899626587
649	0.1897323839
650	0.189508721
651	0.189255605
652	0.1891494448
653	0.1888851742
654	0.1886190978
655	0.1884259878
656	0.1882065327
657	0.1880612149
658	0.1876192786
659	0.1873020439
660	0.1868529556
661	0.1866045248
662	0.1861640832
663	0.1858749116
664	0.1856462245
665	0.1852704422
666	0.1849185634
667	0.1846364098
668	0.1843901104
669	0.1842703851
670	0.1840051779
671	0.1837548083
672	0.1834443959
673	0.183282955
674	0.1829938606
675	0.1827606631
676	0.182478714
677	0.1821378537
678	0.1817595208
679	0.1813929993
680	0.1812159306
681	0.1810485486
682	0.1807971132
683	0.1806916771
684	0.1802961496
685	0.1801658261
686	0.1799813194
687	0.1797227661
688	0.1795761073
689	0.1794305068
690	0.1792472714
691	0.1790464
692	0.178750341
693	0.1782796563
694	0.1780522808
695	0.1779040238
696	0.1777057067
697	0.177473213
698	0.1772869999
699	0.1771793334
700	0.1768963943
701	0.1767211835
702	0.1763170776
703	0.1761838168
704	0.1760595352
705	0.1758746507
706	0.1755599669
707	0.1753552421
708	0.1750480037
709	0.1745908521
710	0.174316496
711	0.1741361272
712	0.173967525
713	0.173652398
714	0.1733838904
715	0.1730641845
716	0.1729248593
717	0.172744784
718	0.1725753097
719	0.1721231919
720	0.1716756593
721	0.171536547
722	0.1713503725
723	0.1711391468
724	0.1710607121
725	0.170912671
726	0.170702708
727	0.1705223425
728	0.1703043701
729	0.1701529351
730	0.1699207304
731	0.1697653412
732	0.1695840941
733	0.1693936619
734	0.169098323
735	0.1687897915
736	0.1685010533
737	0.1681474164
738	0.1679214881
739	0.1675797069
740	0.167203227
741	0.1670217296
742	0.166863257
743	0.1666833338
744	0.1665537677
745	0.1663894492
746	0.1661896605
747	0.1659767058
748	0.1655548177
749	0.1654349831
750	0.165357543
751	0.1652139656
752	0.164958403
753	0.1648496968
754	0.1646781893
755	0.1645124921
756	0.1643539726
757	0.1641435363
758	0.1638753342
759	0.1635554682
760	0.1632332657
761	0.1630194646
762	0.1626923203
763	0.1623994296
764	0.1622342089
765	0.1620288488
766	0.1617158057
767	0.1614482293
768	0.1611878855
769	0.1610891479
770	0.1609399884
771	0.1607900774
772	0.1605985034
773	0.1604864157
774	0.1603589657
775	0.159988057
776	0.1597621945
777	0.1595831773
778	0.1595102427
779	0.1593345821
780	0.1591979033
781	0.1590965133
782	0.1587620004
783	0.1585733391
784	0.1584045897
785	0.1582111621
786	0.1579599555
787	0.1577578271
788	0.1576032637
789	0.1575595242
790	0.1573629801
791	0.1570546311
792	0.1567223178
793	0.1565000499
794	0.156312409
795	0.156184057
796	0.1559452461
797	0.1557923595
798	0.155568673
799	0.1553098625
